id,parent_id,name,type,url_key,url_path,level,status,include_in_menu,product_count,is_leaf,meta_title,meta_description,meta_keywords,thumbnail_url,ancestors
11601,2549,Đồ dùng cho bé,,do-dung-cho-be,do-dung-cho-be/c11601,3,active,True,10000,False,Đồ dùng cho bé,Đồ dùng cho bé,,https://salt.tikicdn.com/cache/280x280/ts/product/94/74/cc/af6c98438f0bfe999764b2ccab47d994.jpg,"[{""id"": 2549, ""level"": ""2"", ""name"": ""Đồ Chơi - Mẹ & Bé"", ""url_key"": ""do-choi-me-be"", ""full_url_key"": ""do-dung-cho-be/do-choi-me-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""do-choi-me-be/c2549""}, {""id"": 11601, ""level"": ""3"", ""name"": ""Đồ dùng cho bé"", ""url_key"": ""do-dung-cho-be"", ""full_url_key"": ""do-dung-cho-be/do-dung-cho-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""do-dung-cho-be/c11601""}]"
10419,8339,Sữa công thức pha sẵn,,sua-cong-thuc-pha-san,sua-cong-thuc-pha-san/c10419,4,active,True,213,True,Sữa công thức pha sẵn,Tìm mua Sữa công thức pha sẵn tại Tiki.vn ✓ Chính Hãng ✓ Giá Rẻ Hơn ✓ Giao Hàng Miễn Phí,,https://salt.tikicdn.com/cache/280x280/ts/product/dd/1b/fc/97c9223d8a1df2e13d953dbf2ba1f982.jpg,"[{""id"": 2549, ""level"": ""2"", ""name"": ""Đồ Chơi - Mẹ & Bé"", ""url_key"": ""do-choi-me-be"", ""full_url_key"": ""sua-cong-thuc-pha-san/do-choi-me-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""do-choi-me-be/c2549""}, {""id"": 8339, ""level"": ""3"", ""name"": ""Dinh dưỡng cho bé"", ""url_key"": ""dinh-duong-cho-be"", ""full_url_key"": ""sua-cong-thuc-pha-san/dinh-duong-cho-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""dinh-duong-cho-be/c8339""}, {""id"": 10419, ""level"": ""4"", ""name"": ""Sữa công thức pha sẵn"", ""url_key"": ""sua-cong-thuc-pha-san"", ""full_url_key"": ""sua-cong-thuc-pha-san/sua-cong-thuc-pha-san"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""sua-cong-thuc-pha-san/c10419""}]"
10415,2551,Tã giấy,,ta-giay,ta-giay/c10415,4,active,True,96,True,Tã giấy,Tìm mua Tã giấy tại Tiki.vn ✓ Chính Hãng ✓ Giá Rẻ Hơn ✓ Giao Hàng Miễn Phí,,https://salt.tikicdn.com/assets/img/image.svg,"[{""id"": 2549, ""level"": ""2"", ""name"": ""Đồ Chơi - Mẹ & Bé"", ""url_key"": ""do-choi-me-be"", ""full_url_key"": ""ta-giay/do-choi-me-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""do-choi-me-be/c2549""}, {""id"": 2551, ""level"": ""3"", ""name"": ""Tã, Bỉm"", ""url_key"": ""ta-bim-cho-be"", ""full_url_key"": ""ta-giay/ta-bim-cho-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""ta-bim-cho-be/c2551""}, {""id"": 10415, ""level"": ""4"", ""name"": ""Tã giấy"", ""url_key"": ""ta-giay"", ""full_url_key"": ""ta-giay/ta-giay"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""ta-giay/c10415""}]"
10414,2551,Miếng lót sơ sinh,,mieng-lot-so-sinh,mieng-lot-so-sinh/c10414,4,active,True,63,True,Miếng lót sơ sinh,Tìm mua Miếng lót sơ sinh tại Tiki.vn ✓ Chính Hãng ✓ Giá Rẻ Hơn ✓ Giao Hàng Miễn Phí,,https://salt.tikicdn.com/cache/280x280/ts/product/29/f3/de/c1ee7306534af76de21ac7c16c25beda.jpg,"[{""id"": 2549, ""level"": ""2"", ""name"": ""Đồ Chơi - Mẹ & Bé"", ""url_key"": ""do-choi-me-be"", ""full_url_key"": ""mieng-lot-so-sinh/do-choi-me-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""do-choi-me-be/c2549""}, {""id"": 2551, ""level"": ""3"", ""name"": ""Tã, Bỉm"", ""url_key"": ""ta-bim-cho-be"", ""full_url_key"": ""mieng-lot-so-sinh/ta-bim-cho-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""ta-bim-cho-be/c2551""}, {""id"": 10414, ""level"": ""4"", ""name"": ""Miếng lót sơ sinh"", ""url_key"": ""mieng-lot-so-sinh"", ""full_url_key"": ""mieng-lot-so-sinh/mieng-lot-so-sinh"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""mieng-lot-so-sinh/c10414""}]"
10570,2549,Chuẩn bị mang thai,,chuan-bi-mang-thai,chuan-bi-mang-thai/c10570,3,active,True,20,False,Chuẩn bị mang thai » Mua giá rẻ hơn tại Tiki.vn,Tìm mua các sản phẩm Chuẩn bị mang thai cho mẹ tại Tiki.vn ✓ Chính Hãng ✓ Giá Rẻ Hơn ✓ Giao Hàng Miễn Phí,,https://salt.tikicdn.com/cache/280x280/ts/product/1e/35/fd/bef6b59ee303ce8bc746703512607247.jpg,"[{""id"": 2549, ""level"": ""2"", ""name"": ""Đồ Chơi - Mẹ & Bé"", ""url_key"": ""do-choi-me-be"", ""full_url_key"": ""chuan-bi-mang-thai/do-choi-me-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""do-choi-me-be/c2549""}, {""id"": 10570, ""level"": ""3"", ""name"": ""Chuẩn bị mang thai"", ""url_key"": ""chuan-bi-mang-thai"", ""full_url_key"": ""chuan-bi-mang-thai/chuan-bi-mang-thai"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""chuan-bi-mang-thai/c10570""}]"
2553,2551,Tã quần,,ta-quan,ta-quan/c2553,4,active,True,701,True,"Tã quần, Mua tã quần online giá tốt tại Tiki.vn","Tã, Bỉm chính hãng - Giá cạnh tranh - Giao hàng nhanh - Nhiều ưu đãi.

",,https://salt.tikicdn.com/cache/280x280/ts/product/af/35/6f/e87f55216983fc4c99fdb98eb1e27174.jpg,"[{""id"": 2549, ""level"": ""2"", ""name"": ""Đồ Chơi - Mẹ & Bé"", ""url_key"": ""do-choi-me-be"", ""full_url_key"": ""ta-quan/do-choi-me-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""do-choi-me-be/c2549""}, {""id"": 2551, ""level"": ""3"", ""name"": ""Tã, Bỉm"", ""url_key"": ""ta-bim-cho-be"", ""full_url_key"": ""ta-quan/ta-bim-cho-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""ta-bim-cho-be/c2551""}, {""id"": 2553, ""level"": ""4"", ""name"": ""Tã quần"", ""url_key"": ""ta-quan"", ""full_url_key"": ""ta-quan/ta-quan"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""ta-quan/c2553""}]"
10417,2551,Tã bỉm dành cho người lớn,,ta-bim-danh-cho-nguoi-lon,ta-bim-danh-cho-nguoi-lon/c10417,4,active,True,190,True,Tã bỉm dành cho người lớn,Tìm mua Tã bỉm dành cho người lớn tại Tiki.vn ✓ Chính Hãng ✓ Giá Rẻ Hơn ✓ Giao Hàng Miễn Phí,,https://salt.tikicdn.com/cache/280x280/ts/product/d4/eb/68/945dc964c0b0e115f04450a22b5b7cb2.png,"[{""id"": 2549, ""level"": ""2"", ""name"": ""Đồ Chơi - Mẹ & Bé"", ""url_key"": ""do-choi-me-be"", ""full_url_key"": ""ta-bim-danh-cho-nguoi-lon/do-choi-me-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""do-choi-me-be/c2549""}, {""id"": 2551, ""level"": ""3"", ""name"": ""Tã, Bỉm"", ""url_key"": ""ta-bim-cho-be"", ""full_url_key"": ""ta-bim-danh-cho-nguoi-lon/ta-bim-cho-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""ta-bim-cho-be/c2551""}, {""id"": 10417, ""level"": ""4"", ""name"": ""Tã bỉm dành cho người lớn"", ""url_key"": ""ta-bim-danh-cho-nguoi-lon"", ""full_url_key"": ""ta-bim-danh-cho-nguoi-lon/ta-bim-danh-cho-nguoi-lon"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""ta-bim-danh-cho-nguoi-lon/c10417""}]"
6568,2549,Thực phẩm ăn dặm,,thuc-pham-an-dam,thuc-pham-an-dam/c6568,3,active,True,114,True,"Thực phẩm ăn dặm hàng chất lượng, tốt cho bé » Mua online giá rẻ tại Tiki.vn","Bột ăn dặm, lọ dinh dưỡng dành cho bé với nhiều hương vị thơm ngon, cung cấp dinh dưỡng toàn diện cho bé trong độ tuổi ăn dặm.",,https://salt.tikicdn.com/cache/280x280/ts/product/37/9d/41/5933d9eed0514bc72404a3a83b8fa088.jpg,"[{""id"": 2549, ""level"": ""2"", ""name"": ""Đồ Chơi - Mẹ & Bé"", ""url_key"": ""do-choi-me-be"", ""full_url_key"": ""thuc-pham-an-dam/do-choi-me-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""do-choi-me-be/c2549""}, {""id"": 6568, ""level"": ""3"", ""name"": ""Thực phẩm ăn dặm"", ""url_key"": ""thuc-pham-an-dam"", ""full_url_key"": ""thuc-pham-an-dam/thuc-pham-an-dam"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""thuc-pham-an-dam/c6568""}]"
11603,2549,Thời Trang Cho Mẹ Và Bé,,thoi-trang-cho-me-va-be,thoi-trang-cho-me-va-be/c11603,3,active,True,10000,False,Thời trang cho mẹ và bé,Thời trang cho mẹ và bé,,https://salt.tikicdn.com/cache/280x280/ts/product/5f/3d/28/bb28cb306385a360d24292dc15738bb4.jpg,"[{""id"": 2549, ""level"": ""2"", ""name"": ""Đồ Chơi - Mẹ & Bé"", ""url_key"": ""do-choi-me-be"", ""full_url_key"": ""thoi-trang-cho-me-va-be/do-choi-me-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""do-choi-me-be/c2549""}, {""id"": 11603, ""level"": ""3"", ""name"": ""Thời Trang Cho Mẹ Và Bé"", ""url_key"": ""thoi-trang-cho-me-va-be"", ""full_url_key"": ""thoi-trang-cho-me-va-be/thoi-trang-cho-me-va-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""thoi-trang-cho-me-va-be/c11603""}]"
15078,2549,Chăm sóc nhà cửa,,cham-soc-nha-cua,cham-soc-nha-cua/c15078,3,active,True,10000,False,Bí kíp chăm sóc nhà cửa của mẹ,"Săn hàng online - Hàng ngàn Sản phẩm chăm sóc nhà cửa chất lượng, giá cực tốt, quà cực chất,  giao hàng cực nhanh trong 2h tại Tiki.",,https://salt.tikicdn.com/cache/280x280/ts/product/79/1d/8c/8d557b119432cc09f3d2d7dac88927ec.jpg,"[{""id"": 2549, ""level"": ""2"", ""name"": ""Đồ Chơi - Mẹ & Bé"", ""url_key"": ""do-choi-me-be"", ""full_url_key"": ""cham-soc-nha-cua/do-choi-me-be"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""do-choi-me-be/c2549""}, {""id"": 15078, ""level"": ""3"", ""name"": ""Chăm sóc nhà cửa"", ""url_key"": ""cham-soc-nha-cua"", ""full_url_key"": ""cham-soc-nha-cua/cham-soc-nha-cua"", ""include_in_menu"": ""1"", ""type"": null, ""url_path"": ""cham-soc-nha-cua/c15078""}]"
