,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id,visible_impression_info
0,271522537,1495546032537,Giày bóng chuyền Wave Lighting Neo 2 mẫu mới hàng chính hãng cao cấp dành cho nam - tặng tất thể thao bendu,giay-bong-chuyen-wave-lighting-neo-2-mau-moi-hang-chinh-hang-cao-cap-danh-cho-nam-tang-tat-the-thao-bendu-p271522537,giay-bong-chuyen-wave-lighting-neo-2-mau-moi-hang-chinh-hang-cao-cap-danh-cho-nam-tang-tat-the-thao-bendu-p271522537.html?spid=271522559,,,,Mizuno,,3799000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",1631000,30,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/1d/fc/c3/c35eedef8b2fc55e656572a3776f1d1d.jpg,280,280,[],False,,False,3541,,,False,False,,,[],,,271522559,,,False,"{'text': 'Đã bán 1', 'value': 1}",,5430000,True,"[{'impression_id': 'thanos-ZAh7a78cfDfEYSsW-qxobFjEO', 'metadata': {'astra_reward': 0, 'category': 24176, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 30, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 271522537, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24176', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-bong-chuyen-nam'}, 'position': 1, 'price': 3799000, 'quantity_sold': 1, 'rating': 5, 'request_id': 'ZAh7a78cfDfEYSsW', 'spid': 271522559, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24176,0,9148,"{'amplitude': {'all_time_quantity_sold': 1, 'brand_name': 'Mizuno', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '3874146486883', 'number_of_reviews': 1, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 3799000, 'primary_category_name': 'Giày bóng chuyền nam', 'product_rating': 5, 'search_rank': 0, 'seller_id': 9148, 'seller_product_id': 271522559, 'seller_product_sku': '1495546032537', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
1,200731672,4615427872021,"Giày cầu lông bóng chuyền, bóng bàn XP PL03 - Phân phối chuẩn công ty",giay-cau-long-bong-chuyen-bong-ban-xp-pl03-phan-phoi-chinh-hang-p200731672,giay-cau-long-bong-chuyen-bong-ban-xp-pl03-phan-phoi-chinh-hang-p200731672.html?spid=158753694,,,,OEM,,385000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",5000,1,4.5,4,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/84/ed/76/313e8ad07f4ecc11b4af32df14a43395.jpg,280,280,[],False,,False,3541,,,False,False,,,[],,,158753694,,,False,"{'text': 'Đã bán 17', 'value': 17}",,390000,True,"[{'impression_id': 'thanos-ZAh7a78cfDfEYSsW-wWoSVg1z', 'metadata': {'astra_reward': 0, 'category': 24176, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 1, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 200731672, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24176', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-bong-chuyen-nam'}, 'position': 2, 'price': 385000, 'quantity_sold': 17, 'rating': 4.5, 'request_id': 'ZAh7a78cfDfEYSsW', 'spid': 158753694, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24176,0,41078,"{'amplitude': {'all_time_quantity_sold': 17, 'brand_name': 'OEM', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '2162910983777', 'number_of_reviews': 4, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 385000, 'primary_category_name': 'Giày bóng chuyền nam', 'product_rating': 4.5, 'search_rank': 0, 'seller_id': 41078, 'seller_product_id': 158753694, 'seller_product_sku': '4615427872021', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
2,208747874,7164723859942,Giày Chơi Bóng Rổ Bóng Chuyền Cao Cấp Mơi - Navy đỏ,giay-choi-bong-ro-bong-chuyen-cao-cap-moi-p208747874,giay-choi-bong-ro-bong-chuyen-cao-cap-moi-p208747874.html?spid=208747908,,,,Chí Phèo,,450000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/cb/b7/ed/0449f4a93923ffe7192249c414a2d277.jpg,280,280,[],False,,False,3541,,,False,False,,,[],,,208747908,,,False,"{'text': 'Đã bán 3', 'value': 3}",,450000,True,"[{'impression_id': 'thanos-ZAh7a78cfDfEYSsW-dO6g5kMd', 'metadata': {'astra_reward': 0, 'category': 24176, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 208747874, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24176', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-bong-chuyen-nam'}, 'position': 3, 'price': 450000, 'quantity_sold': 3, 'rating': 0, 'request_id': 'ZAh7a78cfDfEYSsW', 'spid': 208747908, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24176,0,40890,"{'amplitude': {'all_time_quantity_sold': 3, 'brand_name': 'Chí Phèo', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '9981975363222', 'number_of_reviews': 0, 'order_route': 'near_region', 'partner_rewards_amount': 0, 'price': 450000, 'primary_category_name': 'Giày bóng chuyền nam', 'product_rating': 0, 'search_rank': 0, 'seller_id': 40890, 'seller_product_id': 208747908, 'seller_product_sku': '7164723859942', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
3,270694326,7575649355336,Giày bóng chuyền Beyono Limit - mẫu mới nhất 2023 chơi sân betong rất bền - hàng công ty,giay-bong-chuyen-beyono-limit-mau-moi-nhat-2023-choi-san-betong-rat-ben-hang-cong-ty-p270694326,giay-bong-chuyen-beyono-limit-mau-moi-nhat-2023-choi-san-betong-rat-ben-hang-cong-ty-p270694326.html?spid=270694342,,,,BEYONO,,719000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",31000,4,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/93/26/44/318bff0f37792c4e1121af1286b82ce5.jpg,280,280,[],False,,False,3541,,,False,False,,,[],,,270694342,,,False,"{'text': 'Đã bán 2', 'value': 2}",,750000,True,"[{'impression_id': 'thanos-ZAh7a78cfDfEYSsW-ZeLli7Ii', 'metadata': {'astra_reward': 0, 'category': 24176, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 4, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 270694326, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24176', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-bong-chuyen-nam'}, 'position': 4, 'price': 719000, 'quantity_sold': 2, 'rating': 0, 'request_id': 'ZAh7a78cfDfEYSsW', 'spid': 270694342, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24176,0,41078,"{'amplitude': {'all_time_quantity_sold': 2, 'brand_name': 'BEYONO', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '6146778942911', 'number_of_reviews': 0, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 719000, 'primary_category_name': 'Giày bóng chuyền nam', 'product_rating': 0, 'search_rank': 0, 'seller_id': 41078, 'seller_product_id': 270694342, 'seller_product_sku': '7575649355336', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
4,94779816,8218371012131,Giày bóng chuyền Kumpoo KH-E23,giay-bong-chuyen-kumpoo-kh-e23-p94779816,giay-bong-chuyen-kumpoo-kh-e23-p94779816.html?spid=94779818,,,,Kumpoo,,710000,0,[],"[{'code': 'inventory_status', 'placement': 'delivery_info', 'text': 'Hết hàng', 'text_color': '#FF424E', 'type': 'delivery_info_badge'}]",0,0,4.7,6,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/97/59/fd/7ece23a0e5358c8532a60ce27c11ae9c.jpg,280,280,[],False,,False,3541,,,False,False,,,[],,,94779818,,,False,"{'text': 'Đã bán 15', 'value': 15}",,710000,True,"[{'impression_id': 'thanos-ZAh7a78cfDfEYSsW-GgUjPuZQ', 'metadata': {'astra_reward': 0, 'category': 24176, 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 94779816, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24176', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-bong-chuyen-nam'}, 'position': 5, 'price': 710000, 'quantity_sold': 15, 'rating': 4.7, 'request_id': 'ZAh7a78cfDfEYSsW', 'spid': 94779818, 'tiki_verified': 1}, 'checksum': ''}]",,3,1/2/1975/6826/24176,0,12985,"{'amplitude': {'all_time_quantity_sold': 15, 'brand_name': 'Kumpoo', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '3334115789383', 'number_of_reviews': 6, 'partner_rewards_amount': 0, 'price': 710000, 'primary_category_name': 'Giày bóng chuyền nam', 'product_rating': 4.7, 'search_rank': 0, 'seller_id': 12985, 'seller_product_id': 94779818, 'seller_product_sku': '8218371012131', 'seller_type': 'NONE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
5,73894187,3058016906844,"GIÀY BÓNG BÀN, BÓNG CHUYỀN, CẦU LÔNG 002 ĐẲNG CẤP GIÀY VIỆT",giay-bong-ban-bong-chuyen-cau-long-002-dang-cap-giay-viet-p73894187,giay-bong-ban-bong-chuyen-cau-long-002-dang-cap-giay-viet-p73894187.html?spid=73894217,,,,Chí Phèo,,232750,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 7, 28/10', 'type': 'delivery_info_badge'}]",12250,5,3.8,5,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/d7/f5/ac/2b34b41fd18f68633cdc074cf531f873.jpg,280,280,[],False,,False,3541,,,False,False,,,[],,,73894217,,,False,"{'text': 'Đã bán 20', 'value': 20}",,245000,True,"[{'impression_id': 'thanos-ZAh7a78cfDfEYSsW-ZZZcAglD', 'metadata': {'astra_reward': 0, 'category': 24176, 'delivery_date': '2023/10/28', 'delivery_info_badge_text': 'Giao thứ 7, 28/10', 'delivery_zone': 'VN039006001', 'discount_rate': 5, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 73894187, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24176', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-bong-chuyen-nam'}, 'position': 6, 'price': 232750, 'quantity_sold': 20, 'rating': 3.8, 'request_id': 'ZAh7a78cfDfEYSsW', 'spid': 73894217, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24176,0,94931,"{'amplitude': {'all_time_quantity_sold': 20, 'brand_name': 'Chí Phèo', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '6308365584994', 'number_of_reviews': 5, 'order_route': 'near_region', 'partner_rewards_amount': 0, 'price': 232750, 'primary_category_name': 'Giày bóng chuyền nam', 'product_rating': 3.8, 'search_rank': 0, 'seller_id': 94931, 'seller_product_id': 73894217, 'seller_product_sku': '3058016906844', 'seller_type': 'NONE', 'standard_delivery_estimate': 4.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
6,263557419,4451675339330,Giày bóng chuyền Lefus L019,giay-bong-chuyen-lefus-l019-p263557419,giay-bong-chuyen-lefus-l019-p263557419.html?spid=263557427,,,,OEM,,590000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",130000,18,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/bf/5a/1a/50034742cb669dcd6d2a1cbf98f40081.jpg,280,280,[],False,,False,3541,,,False,False,,,[],,,263557427,,,False,"{'text': 'Đã bán 1', 'value': 1}",,720000,True,"[{'impression_id': 'thanos-ZAh7a78cfDfEYSsW-5LdcPVOC', 'metadata': {'astra_reward': 0, 'category': 24176, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 18, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 263557419, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24176', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-bong-chuyen-nam'}, 'position': 7, 'price': 590000, 'quantity_sold': 1, 'rating': 0, 'request_id': 'ZAh7a78cfDfEYSsW', 'spid': 263557427, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/1975/6826/24176,0,46049,"{'amplitude': {'all_time_quantity_sold': 1, 'brand_name': 'OEM', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '2796064633815', 'number_of_reviews': 0, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 590000, 'primary_category_name': 'Giày bóng chuyền nam', 'product_rating': 0, 'search_rank': 0, 'seller_id': 46049, 'seller_product_id': 263557427, 'seller_product_sku': '4451675339330', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
7,270460747,6346316812292,Giày bóng chuyền Beyono Limit mẫu mới - hàng công ty,giay-bong-chuyen-beyono-limit-mau-moi-hang-cong-ty-p270460747,giay-bong-chuyen-beyono-limit-mau-moi-hang-cong-ty-p270460747.html?spid=270460800,,,,BEYONO,,719000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",31000,4,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/95/e7/7d/34ccee302019e8e7b1d29e1bbd2bad7f.jpg,280,280,[],False,,False,3541,,,False,False,,,[],,,270460800,,,False,"{'text': 'Đã bán 1', 'value': 1}",,750000,True,"[{'impression_id': 'thanos-ZAh7a78cfDfEYSsW-JgGxYggS', 'metadata': {'astra_reward': 0, 'category': 24176, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 4, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 270460747, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24176', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-bong-chuyen-nam'}, 'position': 8, 'price': 719000, 'quantity_sold': 1, 'rating': 0, 'request_id': 'ZAh7a78cfDfEYSsW', 'spid': 270460800, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24176,0,41078,"{'amplitude': {'all_time_quantity_sold': 1, 'brand_name': 'BEYONO', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '3354077458601', 'number_of_reviews': 0, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 719000, 'primary_category_name': 'Giày bóng chuyền nam', 'product_rating': 0, 'search_rank': 0, 'seller_id': 41078, 'seller_product_id': 270460800, 'seller_product_sku': '6346316812292', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
8,190758409,4234617013895,MẮT KÍNH NAM NỮ VS01 FULLBOX CAO CẤP CHỐNG UV400 HOT TREND,mat-kinh-nam-nu-vs01-fullbox-cao-cap-chong-uv400-hot-trend-p190758409,mat-kinh-nam-nu-vs01-fullbox-cao-cap-chong-uv400-hot-trend-p190758409.html?spid=190758425,,,,OEM,,119000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều thứ 5, 26/10', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/a3/a5/cd/0de766df45f2ff7b442f2ef06bd8b4be.jpg,280,280,[],False,,False,3541,,,False,False,,,[],,,190758425,,,False,"{'text': 'Đã bán 1', 'value': 1}",,119000,True,"[{'impression_id': 'thanos-ZAh7a78cfDfEYSsW-aiqN4Yp2', 'metadata': {'astra_reward': 0, 'category': 24176, 'delivery_date': '2023/10/26', 'delivery_info_badge_text': 'Giao chiều thứ 5, 26/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 190758409, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24176', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-bong-chuyen-nam'}, 'position': 9, 'price': 119000, 'quantity_sold': 1, 'rating': 0, 'request_id': 'ZAh7a78cfDfEYSsW', 'spid': 190758425, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/1975/6826/24176,0,187940,"{'amplitude': {'all_time_quantity_sold': 1, 'brand_name': 'OEM', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 1.8, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '8148375874395', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 119000, 'primary_category_name': 'Giày bóng chuyền nam', 'product_rating': 0, 'search_rank': 0, 'seller_id': 187940, 'seller_product_id': 190758425, 'seller_product_sku': '4234617013895', 'seller_type': 'NONE', 'standard_delivery_estimate': 2.008, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
9,263048283,8453429471753,Giày bóng chuyền kumpoo KH-G10 Chính hãng,giay-bong-chuyen-kumpoo-kh-g10-chinh-hang-p263048283,giay-bong-chuyen-kumpoo-kh-g10-chinh-hang-p263048283.html?spid=263048285,,,,Kumpoo,,680000,0,[],"[{'code': 'video_icon', 'icon': 'https://salt.tikicdn.com/ts/upload/d5/f3/6f/fdd40db52ff4afe497d0c2240dcfd25b.png', 'icon_height': 28, 'icon_width': 28, 'placement': 'bottom_right', 'type': 'icon_badge'}, {'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",70000,9,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/68/a0/69/fa36f437cf937f81d006c31d0c37e3af.jpg,280,280,[],False,,False,3541,,,False,False,,,[],,,263048285,,,False,"{'text': 'Đã bán 1', 'value': 1}",,750000,True,"[{'impression_id': 'thanos-ZAh7a78cfDfEYSsW-OiS9Ir62', 'metadata': {'astra_reward': 0, 'category': 24176, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 9, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 263048283, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '24176', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'giay-bong-chuyen-nam'}, 'position': 10, 'price': 680000, 'quantity_sold': 1, 'rating': 0, 'request_id': 'ZAh7a78cfDfEYSsW', 'spid': 263048285, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/1975/6826/24176,0,41078,"{'amplitude': {'all_time_quantity_sold': 1, 'brand_name': 'Kumpoo', 'category_l1_name': 'Thể Thao - Dã Ngoại', 'category_l2_name': 'Giày thể thao nam', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '1819755808263', 'number_of_reviews': 0, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 680000, 'primary_category_name': 'Giày bóng chuyền nam', 'product_rating': 0, 'search_rank': 0, 'seller_id': 41078, 'seller_product_id': 263048285, 'seller_product_sku': '8453429471753', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.05, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
