,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id,visible_impression_info
0,270438694,9092511905453,Thơm Gọt (Nửa Trái),di-cho-online/thom-got-nua-trai-p270438694,di-cho-online/thom-got-nua-trai-p270438694.html?spid=270438695&i=125227,,,,3Sạch Food,,18000,0,[],"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao hôm nay, 24/10', 'type': 'delivery_info_badge'}]",2000,10,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/94/5d/b3/f8d9a95fb8102d9f17e9ed1de014c008.png,280,280,[],False,,False,5197,,,False,False,,,[],,,270438695,,,False,"{'text': 'Đã bán 7', 'value': 7}",,20000,True,"[{'impression_id': 'thanos-Yq5xt3pzVM5cdm1d-PDj0hxvB', 'metadata': {'astra_reward': 0, 'category': 54314, 'delivery_date': '2023/10/24', 'delivery_info_badge_text': 'Giao hôm nay, 24/10', 'delivery_zone': 'VN039006001', 'discount_rate': 10, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 270438694, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '54314', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nong-san-tuoi-khac'}, 'position': 1, 'price': 18000, 'quantity_sold': 7, 'rating': 0, 'request_id': 'Yq5xt3pzVM5cdm1d', 'spid': 270438695, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/44792/54302/54314,0,135632,"{'amplitude': {'all_time_quantity_sold': 7, 'brand_name': '3Sạch Food', 'category_l1_name': 'NGON', 'category_l2_name': 'Rau củ quả', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '1043161246085', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 18000, 'primary_category_name': 'Nông sản tươi khác', 'product_rating': 0, 'search_rank': 0, 'seller_id': 135632, 'seller_product_id': 270438695, 'seller_product_sku': '9092511905453', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0.103, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
1,172921906,6054504741091,Rong Nho Tách Nước Hộp 3 Túi 60g,di-cho-online/rong-nho-tach-nuoc-hop-3-tui-60g-p172921906,di-cho-online/rong-nho-tach-nuoc-hop-3-tui-60g-p172921906.html?spid=172921907&i=246492,,,,Trí Tín,,46800,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}]",12200,21,4.8,17,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/f6/23/49/3e31c80d9aced98dbe56474fc7a90ec9.jpg,280,280,[],False,,False,5197,,,False,False,,,[],,,172921907,,,False,"{'text': 'Đã bán 138', 'value': 138}",,59000,True,"[{'impression_id': 'thanos-Yq5xt3pzVM5cdm1d-Mhvjq5yU', 'metadata': {'astra_reward': 0, 'category': 54314, 'delivery_zone': 'VN039006001', 'discount_rate': 21, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 172921906, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '54314', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nong-san-tuoi-khac'}, 'position': 2, 'price': 46800, 'quantity_sold': 138, 'rating': 4.8, 'request_id': 'Yq5xt3pzVM5cdm1d', 'spid': 172921907, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/44792/54302/54314,0,243693,"{'amplitude': {'all_time_quantity_sold': 138, 'brand_name': 'Trí Tín', 'category_l1_name': 'NGON', 'category_l2_name': 'Rau củ quả', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '6118346343582', 'number_of_reviews': 17, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 46800, 'primary_category_name': 'Nông sản tươi khác', 'product_rating': 4.8, 'search_rank': 0, 'seller_id': 243693, 'seller_product_id': 172921907, 'seller_product_sku': '6054504741091', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
2,270305591,3091162270884,Đặc Sản Bến Tre - Dừa Gáo Trọc Xiêm Xanh Bến Tre DKA (Túi 3 trái),di-cho-online/dua-gao-troc-xiem-xanh-ben-tre-dka-tui-3-trai-p270305591,di-cho-online/dua-gao-troc-xiem-xanh-ben-tre-dka-tui-3-trai-p270305591.html?spid=270305592&i=125227,,,,Dừa Kiến An,,60000,0,[],"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao hôm nay, 24/10', 'type': 'delivery_info_badge'}]",5000,8,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/25/e4/25/4341a0449b869a4ef059f2be8e70c6dc.png,280,280,[],False,,False,5197,,,False,False,,,[],,,270305592,,,False,"{'text': 'Đã bán 2', 'value': 2}",,65000,True,"[{'impression_id': 'thanos-Yq5xt3pzVM5cdm1d-l4ciHlKe', 'metadata': {'astra_reward': 0, 'category': 54314, 'delivery_date': '2023/10/24', 'delivery_info_badge_text': 'Giao hôm nay, 24/10', 'delivery_zone': 'VN039006001', 'discount_rate': 8, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 270305591, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '54314', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nong-san-tuoi-khac'}, 'position': 3, 'price': 60000, 'quantity_sold': 2, 'rating': 0, 'request_id': 'Yq5xt3pzVM5cdm1d', 'spid': 270305592, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/44792/54302/54314,0,135632,"{'amplitude': {'all_time_quantity_sold': 2, 'brand_name': 'Dừa Kiến An', 'category_l1_name': 'NGON', 'category_l2_name': 'Rau củ quả', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '6238990356696', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 60000, 'primary_category_name': 'Nông sản tươi khác', 'product_rating': 0, 'search_rank': 0, 'seller_id': 135632, 'seller_product_id': 270305592, 'seller_product_sku': '3091162270884', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0.103, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
3,270490904,7583314853292,[CHỈ GIAO HCM] Lá dứa - 300gr,di-cho-online/la-dua-300gr-p270490904,di-cho-online/la-dua-300gr-p270490904.html?spid=270490905&i=133460,,,,FS Trái Cây Tươi,,9000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao ngày mai', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/55/4b/8c/fe6852db666c984a7fa74157f85c004e.jpg,280,280,[],False,,False,5197,,,False,False,,,[],,,270490905,,,False,"{'text': 'Đã bán 4', 'value': 4}",,9000,True,"[{'impression_id': 'thanos-Yq5xt3pzVM5cdm1d-ZBeXTqo1', 'metadata': {'astra_reward': 0, 'category': 54314, 'delivery_info_badge_text': 'Giao ngày mai', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 270490904, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '54314', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nong-san-tuoi-khac'}, 'position': 4, 'price': 9000, 'quantity_sold': 4, 'rating': 0, 'request_id': 'Yq5xt3pzVM5cdm1d', 'spid': 270490905, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/44792/54302/54314,0,144617,"{'amplitude': {'all_time_quantity_sold': 4, 'brand_name': 'FS Trái Cây Tươi', 'category_l1_name': 'NGON', 'category_l2_name': 'Rau củ quả', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '7582139966628', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 9000, 'primary_category_name': 'Nông sản tươi khác', 'product_rating': 0, 'search_rank': 0, 'seller_id': 144617, 'seller_product_id': 270490905, 'seller_product_sku': '7583314853292', 'seller_type': 'NONE', 'standard_delivery_estimate': 0.707, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
4,185821114,6741693294400,Hoành thánh lá 500g,di-cho-online/hoanh-thanh-la-500g-p185821114,di-cho-online/hoanh-thanh-la-500g-p185821114.html?spid=185821128&i=268398,,,,OEM,,22500,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao hôm nay, 24/10', 'type': 'delivery_info_badge'}, {'code': 'asa_reward_html_badge', 'icon': 'https://salt.tikicdn.com/ts/upload/e9/14/26/52318ad1543ad9d3ee5b633b3df0750d.png', 'icon_height': 8, 'icon_width': 34, 'placement': 'under_price', 'text': 'Hoàn 6 ASA', 'text_color': '#808089', 'type': 'asa_reward_html'}]",2500,10,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/7a/97/57/a69f9426f1591780366705bc149373b6.jpg,280,280,[],False,,False,5197,,,False,False,,,[],,,185821128,,,False,"{'text': 'Đã bán 11', 'value': 11}",,25000,True,"[{'impression_id': 'thanos-Yq5xt3pzVM5cdm1d-mwy5EFSH', 'metadata': {'astra_reward': 6, 'astra_reward_text': 'Hoàn 6 ASA', 'category': 54314, 'delivery_date': '2023/10/24', 'delivery_info_badge_text': 'Giao hôm nay, 24/10', 'delivery_zone': 'VN039006001', 'discount_rate': 10, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 1, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 185821114, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '54314', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nong-san-tuoi-khac'}, 'position': 5, 'price': 22500, 'quantity_sold': 11, 'rating': 5, 'request_id': 'Yq5xt3pzVM5cdm1d', 'spid': 185821128, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/44792/54302/54314,0,281327,"{'amplitude': {'all_time_quantity_sold': 11, 'brand_name': 'OEM', 'category_l1_name': 'NGON', 'category_l2_name': 'Rau củ quả', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '9206336491003', 'number_of_reviews': 1, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 22500, 'primary_category_name': 'Nông sản tươi khác', 'product_rating': 5, 'search_rank': 0, 'seller_id': 281327, 'seller_product_id': 185821128, 'seller_product_sku': '6741693294400', 'seller_type': 'NONE', 'standard_delivery_estimate': 0.103, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
5,271382473,1355244091363,[CHỈ GIAO HCM] Khoai môn - 500gr,di-cho-online/chi-giao-hcm-khoai-mon-500gr-p271382473,di-cho-online/chi-giao-hcm-khoai-mon-500gr-p271382473.html?spid=271382474&i=133460,,,,FS Trái Cây Tươi,,24000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao ngày mai', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/20/36/09/5f637fbcdc7503b3384ffbdcdf5eeccf.jpg,280,280,[],False,,False,5197,,,False,False,,,[],,,271382474,,,False,"{'text': 'Đã bán 3', 'value': 3}",,24000,True,"[{'impression_id': 'thanos-Yq5xt3pzVM5cdm1d-4yGfxJ87', 'metadata': {'astra_reward': 0, 'category': 54314, 'delivery_info_badge_text': 'Giao ngày mai', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 271382473, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '54314', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nong-san-tuoi-khac'}, 'position': 6, 'price': 24000, 'quantity_sold': 3, 'rating': 0, 'request_id': 'Yq5xt3pzVM5cdm1d', 'spid': 271382474, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/44792/54302/54314,0,144617,"{'amplitude': {'all_time_quantity_sold': 3, 'brand_name': 'FS Trái Cây Tươi', 'category_l1_name': 'NGON', 'category_l2_name': 'Rau củ quả', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '3577448215810', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 24000, 'primary_category_name': 'Nông sản tươi khác', 'product_rating': 0, 'search_rank': 0, 'seller_id': 144617, 'seller_product_id': 271382474, 'seller_product_sku': '1355244091363', 'seller_type': 'NONE', 'standard_delivery_estimate': 0.707, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
6,225381092,1875628612841,Bắp Non (200g),di-cho-online/bap-non-200g-p225381092,di-cho-online/bap-non-200g-p225381092.html?spid=225381093&i=300412,,,,Sông Xanh,,18000,0,[],"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao hôm nay, 24/10', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/78/08/58/2720055ec639e65b476966fda1bfb6b6.png,280,280,[],False,,False,5197,,,False,False,,,[],,,225381093,,,False,"{'text': 'Đã bán 2', 'value': 2}",,18000,True,"[{'impression_id': 'thanos-Yq5xt3pzVM5cdm1d-y4l8qyxf', 'metadata': {'astra_reward': 0, 'category': 54314, 'delivery_date': '2023/10/24', 'delivery_info_badge_text': 'Giao hôm nay, 24/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 225381092, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '54314', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nong-san-tuoi-khac'}, 'position': 7, 'price': 18000, 'quantity_sold': 2, 'rating': 0, 'request_id': 'Yq5xt3pzVM5cdm1d', 'spid': 225381093, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/44792/54302/54314,0,300339,"{'amplitude': {'all_time_quantity_sold': 2, 'brand_name': 'Sông Xanh', 'category_l1_name': 'NGON', 'category_l2_name': 'Rau củ quả', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '6602391260887', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 18000, 'primary_category_name': 'Nông sản tươi khác', 'product_rating': 0, 'search_rank': 0, 'seller_id': 300339, 'seller_product_id': 225381093, 'seller_product_sku': '1875628612841', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0.103, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
7,216463831,3595393128329,Đặc Sản Nha Trang - Dừa Sấy Giòn Ohla Hộp 120G,di-cho-online/dua-say-gion-ohla-hop-120-gram-p216463831,di-cho-online/dua-say-gion-ohla-hop-120-gram-p216463831.html?spid=216463832&i=242647,,,,OEM,,58000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao ngày mai', 'type': 'delivery_info_badge'}]",2000,3,4.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/24/d2/a2/6f55aa4b65ec9f7c50dade9a0346b8f7.png,280,280,[],False,,False,5197,,,False,False,,,[],,,216463832,,,False,"{'text': 'Đã bán 5', 'value': 5}",,60000,True,"[{'impression_id': 'thanos-Yq5xt3pzVM5cdm1d-uLoGv9GC', 'metadata': {'astra_reward': 0, 'category': 54314, 'delivery_info_badge_text': 'Giao ngày mai', 'delivery_zone': 'VN039006001', 'discount_rate': 3, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 216463831, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '54314', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nong-san-tuoi-khac'}, 'position': 8, 'price': 58000, 'quantity_sold': 5, 'rating': 4, 'request_id': 'Yq5xt3pzVM5cdm1d', 'spid': 216463832, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/44792/54302/54314,0,255615,"{'amplitude': {'all_time_quantity_sold': 5, 'brand_name': 'OEM', 'category_l1_name': 'NGON', 'category_l2_name': 'Rau củ quả', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '4034398603734', 'number_of_reviews': 1, 'order_route': 'same_region', 'partner_rewards_amount': 0, 'price': 58000, 'primary_category_name': 'Nông sản tươi khác', 'product_rating': 4, 'search_rank': 0, 'seller_id': 255615, 'seller_product_id': 216463832, 'seller_product_sku': '3595393128329', 'seller_type': 'NONE', 'standard_delivery_estimate': 0.811, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
8,163027609,2907043572986,Rong biển ăn liền Bibigo (lốc 3 gói),di-cho-online/rong-bien-an-lien-bibigo-loc-3-goi-p163027609,di-cho-online/rong-bien-an-lien-bibigo-loc-3-goi-p163027609.html?spid=163027613&i=250968,,,,OEM,,35000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao ngày mai', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/b5/9e/96/a1fa30bcf050c2e660e12a918d682218.jpg,280,280,[],False,,False,5197,,,False,False,,,[],,,163027613,,,False,"{'text': 'Đã bán 10', 'value': 10}",,35000,True,"[{'impression_id': 'thanos-Yq5xt3pzVM5cdm1d-VJ1g7tX7', 'metadata': {'astra_reward': 0, 'category': 54314, 'delivery_info_badge_text': 'Giao ngày mai', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 163027609, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '54314', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nong-san-tuoi-khac'}, 'position': 9, 'price': 35000, 'quantity_sold': 10, 'rating': 0, 'request_id': 'Yq5xt3pzVM5cdm1d', 'spid': 163027613, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/44792/54302/54314,0,263923,"{'amplitude': {'all_time_quantity_sold': 10, 'brand_name': 'OEM', 'category_l1_name': 'NGON', 'category_l2_name': 'Rau củ quả', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '8936252455273', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 35000, 'primary_category_name': 'Nông sản tươi khác', 'product_rating': 0, 'search_rank': 0, 'seller_id': 263923, 'seller_product_id': 163027613, 'seller_product_sku': '2907043572986', 'seller_type': 'NONE', 'standard_delivery_estimate': 0.811, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
9,195111924,5756992399547,Sấu tươi Hà Nội bán tại Sài Gòn - Giao hàng siêu tốc 2h,di-cho-online/sau-tuoi-ha-noi-ban-tai-sai-gon-giao-hang-sieu-toc-2h-p195111924,di-cho-online/sau-tuoi-ha-noi-ban-tai-sai-gon-giao-hang-sieu-toc-2h-p195111924.html?spid=195111925&i=287840,,,,OEM,,79000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao ngày mai', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/e3/10/5d/eba914c42e93b260f606c728f6326b3c.jpg,280,280,[],False,,False,5197,,,False,False,,,[],,,195111925,,,False,"{'text': 'Đã bán 1', 'value': 1}",,79000,True,"[{'impression_id': 'thanos-Yq5xt3pzVM5cdm1d-mcg3ca3G', 'metadata': {'astra_reward': 0, 'category': 54314, 'delivery_info_badge_text': 'Giao ngày mai', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 195111924, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '54314', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nong-san-tuoi-khac'}, 'position': 10, 'price': 79000, 'quantity_sold': 1, 'rating': 0, 'request_id': 'Yq5xt3pzVM5cdm1d', 'spid': 195111925, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/44792/54302/54314,0,300337,"{'amplitude': {'all_time_quantity_sold': 1, 'brand_name': 'OEM', 'category_l1_name': 'NGON', 'category_l2_name': 'Rau củ quả', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '7684857792922', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 79000, 'primary_category_name': 'Nông sản tươi khác', 'product_rating': 0, 'search_rank': 0, 'seller_id': 300337, 'seller_product_id': 195111925, 'seller_product_sku': '5756992399547', 'seller_type': 'NONE', 'standard_delivery_estimate': 0.728, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
