,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id,visible_impression_info
0,271394416,3213426795126,MA ĐẠO TỔ SƯ - BẢN TRUYỆN TRANH (TẬP 2),ma-dao-to-su-ban-truyen-tranh-tap-2-p271394416,ma-dao-to-su-ban-truyen-tranh-tap-2-p271394416.html?spid=271394418,,,,,,129000,0,[],"[{'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 5, 26/10', 'type': 'delivery_info_badge'}]",30000,19,4.8,16,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/91/0c/11/064825802a4280bbd51ec7977daa88f9.png,280,280,[],False,,False,253,,,False,False,,,[],,,271394418,,,False,"{'text': 'Đã bán 168', 'value': 168}",,159000,True,"[{'impression_id': 'thanos-nOzo8Z085GU6RA6G-o4O7EtvI', 'metadata': {'astra_reward': 0, 'category': 1084, 'delivery_date': '2023/10/26', 'delivery_info_badge_text': 'Giao thứ 5, 26/10', 'delivery_zone': 'VN039006001', 'discount_rate': 19, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 271394416, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '1084', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'truyen-tranh'}, 'position': 1, 'price': 129000, 'quantity_sold': 168, 'rating': 4.8, 'request_id': 'nOzo8Z085GU6RA6G', 'spid': 271394418, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/8322/316/1084,0,1,"{'amplitude': {'all_time_quantity_sold': 168, 'category_l1_name': 'Nhà Sách Tiki', 'category_l2_name': 'Sách tiếng Việt', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '8955600578498', 'number_of_reviews': 16, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 129000, 'primary_category_name': 'Truyện Tranh, Manga, Comic', 'product_rating': 4.8, 'search_rank': 0, 'seller_id': 1, 'seller_product_id': 271394418, 'seller_product_sku': '3213426795126', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 2.051, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
1,271733296,4305793769353,Cherry Magic (Tập 8),cherry-magic-tap-8-p271733296,cherry-magic-tap-8-p271733296.html?spid=271733298,,,,,,86700,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}]",22300,20,5.0,10,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/52/c7/29/2513fd56c6aab3274a97769d015f68ca.jpg,280,280,[],False,,False,253,,,False,False,,,[],,,271733298,,,False,"{'text': 'Đã bán 165', 'value': 165}",,109000,True,"[{'impression_id': 'thanos-nOzo8Z085GU6RA6G-zKz1UOED', 'metadata': {'astra_reward': 0, 'category': 1084, 'delivery_zone': 'VN039006001', 'discount_rate': 20, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 271733296, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '1084', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'truyen-tranh'}, 'position': 2, 'price': 86700, 'quantity_sold': 165, 'rating': 5, 'request_id': 'nOzo8Z085GU6RA6G', 'spid': 271733298, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/8322/316/1084,0,1,"{'amplitude': {'all_time_quantity_sold': 165, 'category_l1_name': 'Nhà Sách Tiki', 'category_l2_name': 'Sách tiếng Việt', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '7108670840234', 'number_of_reviews': 10, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 86700, 'primary_category_name': 'Truyện Tranh, Manga, Comic', 'product_rating': 5, 'search_rank': 0, 'seller_id': 1, 'seller_product_id': 271733298, 'seller_product_sku': '4305793769353', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
2,251577060,5720404971426,Người Bà Tài Giỏi Vùng Saga – Tập 11,nguoi-ba-tai-gioi-vung-saga-tap-11-p251577060,nguoi-ba-tai-gioi-vung-saga-tap-11-p251577060.html?spid=251577061,,,,,,43700,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}]",8300,16,4.7,62,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/9d/bd/8b/51f806c45df29281ab235031284dc76f.png,280,280,[],False,,False,253,,,False,False,,,[],,,251577061,,,False,"{'text': 'Đã bán 818', 'value': 818}",,52000,True,"[{'impression_id': 'thanos-nOzo8Z085GU6RA6G-43BRr2xl', 'metadata': {'astra_reward': 0, 'category': 1084, 'delivery_zone': 'VN039006001', 'discount_rate': 16, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 251577060, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '1084', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'truyen-tranh'}, 'position': 3, 'price': 43700, 'quantity_sold': 818, 'rating': 4.7, 'request_id': 'nOzo8Z085GU6RA6G', 'spid': 251577061, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/8322/316/1084,0,1,"{'amplitude': {'all_time_quantity_sold': 818, 'category_l1_name': 'Nhà Sách Tiki', 'category_l2_name': 'Sách tiếng Việt', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '6257242100563', 'number_of_reviews': 62, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 43700, 'primary_category_name': 'Truyện Tranh, Manga, Comic', 'product_rating': 4.7, 'search_rank': 0, 'seller_id': 1, 'seller_product_id': 251577061, 'seller_product_sku': '5720404971426', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
3,272122637,6896547843446,Chú Thuật Hồi Chiến Tập 17: Ngậm Ngọn Cỏ Lau,chu-thuat-hoi-chien-tap-17-ngam-ngon-co-lau-p272122637,chu-thuat-hoi-chien-tap-17-ngam-ngon-co-lau-p272122637.html?spid=272122641,,,,,,28000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}]",2000,7,5.0,6,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/cc/a9/72/a70d25255804166ea7abc6fd550f04df.jpg,280,280,[],False,,False,253,,,False,False,,,[],,,272122641,,,False,"{'text': 'Đã bán 129', 'value': 129}",,30000,True,"[{'impression_id': 'thanos-nOzo8Z085GU6RA6G-hIwlq5Oq', 'metadata': {'astra_reward': 0, 'category': 1084, 'delivery_zone': 'VN039006001', 'discount_rate': 7, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 272122637, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '1084', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'truyen-tranh'}, 'position': 4, 'price': 28000, 'quantity_sold': 129, 'rating': 5, 'request_id': 'nOzo8Z085GU6RA6G', 'spid': 272122641, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/8322/316/1084,0,1,"{'amplitude': {'all_time_quantity_sold': 129, 'category_l1_name': 'Nhà Sách Tiki', 'category_l2_name': 'Sách tiếng Việt', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '8327312516066', 'number_of_reviews': 6, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 28000, 'primary_category_name': 'Truyện Tranh, Manga, Comic', 'product_rating': 5, 'search_rank': 0, 'seller_id': 1, 'seller_product_id': 272122641, 'seller_product_sku': '6896547843446', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
4,271537839,4122400540638,Nhóc Maruko,nhoc-maruko-p271537839,nhoc-maruko-p271537839.html?spid=271537842,,,,,,39000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}]",100,0,5.0,7,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/90/61/bc/c1be82b8d98c750d422d8f85b21e3de6.jpg,280,280,[],False,,False,253,,,False,False,,,[],,,271537842,,,False,"{'text': 'Đã bán 184', 'value': 184}",,39100,True,"[{'impression_id': 'thanos-nOzo8Z085GU6RA6G-DkEhtVuc', 'metadata': {'astra_reward': 0, 'category': 1084, 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 271537839, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '1084', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'truyen-tranh'}, 'position': 5, 'price': 39000, 'quantity_sold': 184, 'rating': 5, 'request_id': 'nOzo8Z085GU6RA6G', 'spid': 271537842, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/8322/316/1084,0,1,"{'amplitude': {'all_time_quantity_sold': 184, 'category_l1_name': 'Nhà Sách Tiki', 'category_l2_name': 'Sách tiếng Việt', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '5671693903953', 'number_of_reviews': 7, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 39000, 'primary_category_name': 'Truyện Tranh, Manga, Comic', 'product_rating': 5, 'search_rank': 0, 'seller_id': 1, 'seller_product_id': 271537842, 'seller_product_sku': '4122400540638', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
5,272425616,4518804872089,Arya Bàn Bên Thỉnh Thoảng Lại Trêu Ghẹo Tôi Bằng Tiếng Nga – Tập 4,arya-ban-ben-thinh-thoang-lai-treu-gheo-toi-bang-tieng-nga-tap-4-p272425616,arya-ban-ben-thinh-thoang-lai-treu-gheo-toi-bang-tieng-nga-tap-4-p272425616.html?spid=272425618,,,,,,93100,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}]",1900,2,5.0,4,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/df/e6/b1/5912feae17ce5f7e47e434be705013be.jpg,280,280,[],False,,False,253,,,False,False,,,[],,,272425618,,,False,"{'text': 'Đã bán 111', 'value': 111}",,95000,True,"[{'impression_id': 'thanos-nOzo8Z085GU6RA6G-caYY6bgG', 'metadata': {'astra_reward': 0, 'category': 1084, 'delivery_zone': 'VN039006001', 'discount_rate': 2, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 272425616, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '1084', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'truyen-tranh'}, 'position': 6, 'price': 93100, 'quantity_sold': 111, 'rating': 5, 'request_id': 'nOzo8Z085GU6RA6G', 'spid': 272425618, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/8322/316/1084,0,1,"{'amplitude': {'all_time_quantity_sold': 111, 'category_l1_name': 'Nhà Sách Tiki', 'category_l2_name': 'Sách tiếng Việt', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '3664558550974', 'number_of_reviews': 4, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 93100, 'primary_category_name': 'Truyện Tranh, Manga, Comic', 'product_rating': 5, 'search_rank': 0, 'seller_id': 1, 'seller_product_id': 272425618, 'seller_product_sku': '4518804872089', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
6,271986931,5569963392429,Miền An Lạc,mien-an-lac-p271986931,mien-an-lac-p271986931.html?spid=271986934,,,,,,36000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}]",0,0,5.0,7,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/d6/33/7f/4d489fb6d296d247ea160dda32b6ab10.jpg,280,280,[],False,,False,253,,,False,False,,,[],,,271986934,,,False,"{'text': 'Đã bán 101', 'value': 101}",,36000,True,"[{'impression_id': 'thanos-nOzo8Z085GU6RA6G-gTXwkpKx', 'metadata': {'astra_reward': 0, 'category': 1084, 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 271986931, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '1084', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'truyen-tranh'}, 'position': 7, 'price': 36000, 'quantity_sold': 101, 'rating': 5, 'request_id': 'nOzo8Z085GU6RA6G', 'spid': 271986934, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/8322/316/1084,0,1,"{'amplitude': {'all_time_quantity_sold': 101, 'category_l1_name': 'Nhà Sách Tiki', 'category_l2_name': 'Sách tiếng Việt', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '4685840884311', 'number_of_reviews': 7, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 36000, 'primary_category_name': 'Truyện Tranh, Manga, Comic', 'product_rating': 5, 'search_rank': 0, 'seller_id': 1, 'seller_product_id': 271986934, 'seller_product_sku': '5569963392429', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
7,272369207,6896924448331,Nhóc Miko! Cô Bé Nhí Nhảnh - Tập 37,nhoc-miko-co-be-nhi-nhanh-tap-37-p272369207,nhoc-miko-co-be-nhi-nhanh-tap-37-p272369207.html?spid=272369208,,,,,,23800,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",1200,5,4.7,3,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/94/a6/52/c4aa73d5c6b56afaa4c53bf27fad6819.jpg,280,280,[],False,,False,253,,,False,False,,,[],,,272369208,,,False,"{'text': 'Đã bán 89', 'value': 89}",,25000,True,"[{'impression_id': 'thanos-nOzo8Z085GU6RA6G-mjvhBgCp', 'metadata': {'astra_reward': 0, 'category': 1084, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 5, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 272369207, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '1084', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'truyen-tranh'}, 'position': 8, 'price': 23800, 'quantity_sold': 89, 'rating': 4.7, 'request_id': 'nOzo8Z085GU6RA6G', 'spid': 272369208, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/8322/316/1084,0,53660,"{'amplitude': {'all_time_quantity_sold': 89, 'category_l1_name': 'Nhà Sách Tiki', 'category_l2_name': 'Sách tiếng Việt', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '3069494736856', 'number_of_reviews': 3, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 23800, 'primary_category_name': 'Truyện Tranh, Manga, Comic', 'product_rating': 4.7, 'search_rank': 0, 'seller_id': 53660, 'seller_product_id': 272369208, 'seller_product_sku': '6896924448331', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 3.26, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
8,270990937,6338706659518,Spy X Family Tập 9,spy-x-family-tap-9-p270990937,spy-x-family-tap-9-p270990937.html?spid=270990945,,,,,,25000,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}]",0,0,4.8,49,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/aa/01/cb/523b7e761c738a414b8eea3380eb2584.jpg,280,280,[],False,,False,253,,,False,False,,,[],,,270990945,,,False,"{'text': 'Đã bán 530', 'value': 530}",,25000,True,"[{'impression_id': 'thanos-nOzo8Z085GU6RA6G-ZwLNAu1T', 'metadata': {'astra_reward': 0, 'category': 1084, 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 270990937, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '1084', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'truyen-tranh'}, 'position': 9, 'price': 25000, 'quantity_sold': 530, 'rating': 4.8, 'request_id': 'nOzo8Z085GU6RA6G', 'spid': 270990945, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/8322/316/1084,0,1,"{'amplitude': {'all_time_quantity_sold': 530, 'category_l1_name': 'Nhà Sách Tiki', 'category_l2_name': 'Sách tiếng Việt', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '1275311416650', 'number_of_reviews': 49, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 25000, 'primary_category_name': 'Truyện Tranh, Manga, Comic', 'product_rating': 4.8, 'search_rank': 0, 'seller_id': 1, 'seller_product_id': 270990945, 'seller_product_sku': '6338706659518', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
9,270464655,8205124964790,Cherry Magic - Tập 7,cherry-magic-tap-7-p270464655,cherry-magic-tap-7-p270464655.html?spid=270464657,,,,,,86700,0,[],"[{'code': 'tikinow', 'icon': 'https://salt.tikicdn.com/ts/tka/a8/31/b6/802e2c99dcce64c67aa2648edb15dd25.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao siêu tốc 2h', 'type': 'delivery_info_badge'}, {'code': 'authentic_brand', 'icon': 'https://salt.tikicdn.com/ts/tka/69/cf/22/1be823299ae34c7ddcd922e73abd4909.png', 'icon_height': 20, 'icon_width': 89, 'placement': 'under_product_image', 'type': 'icon_badge'}]",22300,20,5.0,34,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/da/fd/e6/b3c739f6d88540977aeac8ff964f4a9c.jpg,280,280,[],False,,False,253,,,False,False,,,[],,,270464657,,,False,"{'text': 'Đã bán 266', 'value': 266}",,109000,True,"[{'impression_id': 'thanos-nOzo8Z085GU6RA6G-I4qgjvgV', 'metadata': {'astra_reward': 0, 'category': 1084, 'delivery_zone': 'VN039006001', 'discount_rate': 20, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 1, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 270464655, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '1084', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'truyen-tranh'}, 'position': 10, 'price': 86700, 'quantity_sold': 266, 'rating': 5, 'request_id': 'nOzo8Z085GU6RA6G', 'spid': 270464657, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/8322/316/1084,0,1,"{'amplitude': {'all_time_quantity_sold': 266, 'category_l1_name': 'Nhà Sách Tiki', 'category_l2_name': 'Sách tiếng Việt', 'earliest_delivery_estimate': 0, 'is_authentic': 1, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '1075863769034', 'number_of_reviews': 34, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 86700, 'primary_category_name': 'Truyện Tranh, Manga, Comic', 'product_rating': 5, 'search_rank': 0, 'seller_id': 1, 'seller_product_id': 270464657, 'seller_product_sku': '8205124964790', 'seller_type': 'OFFICIAL_STORE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0.21, 'tikipro_delivery_estimate': 0}}"
