,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id,visible_impression_info
0,176767291,1518558221469,"Áo tắm big size nữ dáng liền thân dài tay khóa kéo, có size lớn đến 90kg, mẫu thể thao trẻ trung, che bụng tốt, chất thun bơi lạnh dày đẹp | KT111",ao-tam-big-size-nu-dang-lien-than-dai-tay-khoa-keo-co-size-lon-den-90kg-mau-the-thao-tre-trung-che-bung-tot-chat-thun-boi-lanh-day-dep-kt111-p176767291,ao-tam-big-size-nu-dang-lien-than-dai-tay-khoa-keo-co-size-lon-den-90kg-mau-the-thao-tre-trung-che-bung-tot-chat-thun-boi-lanh-day-dep-kt111-p176767291.html?spid=195867522,,,,OEM,,480000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",0,0,4.8,4,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/16/56/53/8ffb8bc4f5bb7dbd418e6184ab27e4a8.png,280,280,[],False,,False,1833,,,False,False,,,[],,,195867522,,,False,"{'text': 'Đã bán 15', 'value': 15}",,480000,True,"[{'impression_id': 'thanos-JRTOUx8H6OZFE8T0-neR2Oher', 'metadata': {'astra_reward': 0, 'category': 27576, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 176767291, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '27576', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'do-boi-mot-manh'}, 'position': 1, 'price': 480000, 'quantity_sold': 15, 'rating': 4.8, 'request_id': 'JRTOUx8H6OZFE8T0', 'spid': 195867522, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/931/6179/27576,0,63850,"{'amplitude': {'all_time_quantity_sold': 15, 'brand_name': 'OEM', 'category_l1_name': 'Thời trang nữ', 'category_l2_name': 'Trang phục bơi nữ', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '1848492219519', 'number_of_reviews': 4, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 480000, 'primary_category_name': 'Đồ bơi một mảnh', 'product_rating': 4.8, 'search_rank': 0, 'seller_id': 63850, 'seller_product_id': 195867522, 'seller_product_sku': '1518558221469', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.058, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
1,252994780,2279120115035,Đồ bơi nữ liền thân dáng váy đi biển vải mềm mại co giãn 4 chiều thời trang cao cấp phong cách Hàn Quốc,do-boi-nu-lien-than-dang-vay-di-bien-vai-mem-mai-co-gian-4-chieu-thoi-trang-cao-cap-phong-cach-han-quoc-p252994780,do-boi-nu-lien-than-dang-vay-di-bien-vai-mem-mai-co-gian-4-chieu-thoi-trang-cao-cap-phong-cach-han-quoc-p252994780.html?spid=252994786,,,,TAKIHA,,169000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/3f/1d/2e/5122d5f3dc668fc4160335a4919e262a.jpg,280,280,[],False,,False,1833,,,False,False,,,[],,,252994786,,,False,"{'text': 'Đã bán 4', 'value': 4}",,169000,True,"[{'impression_id': 'thanos-JRTOUx8H6OZFE8T0-eNsGbP0g', 'metadata': {'astra_reward': 0, 'category': 27576, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 252994780, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '27576', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'do-boi-mot-manh'}, 'position': 2, 'price': 169000, 'quantity_sold': 4, 'rating': 5, 'request_id': 'JRTOUx8H6OZFE8T0', 'spid': 252994786, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/931/6179/27576,0,90053,"{'amplitude': {'all_time_quantity_sold': 4, 'brand_name': 'TAKIHA', 'category_l1_name': 'Thời trang nữ', 'category_l2_name': 'Trang phục bơi nữ', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '3535855363343', 'number_of_reviews': 1, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 169000, 'primary_category_name': 'Đồ bơi một mảnh', 'product_rating': 5, 'search_rank': 0, 'seller_id': 90053, 'seller_product_id': 252994786, 'seller_product_sku': '2279120115035', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.058, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
2,68559276,4879630360663,Bộ bơi nữ dài liền chống nắng,bo-boi-nu-dai-lien-chong-nang-p68559276,bo-boi-nu-dai-lien-chong-nang-p68559276.html?spid=100142381,,,,OEM,,740000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/d6/e2/6d/29d198317dbfa6243e18cfefa04ae11d.jpg,280,280,[],False,,False,1833,,,False,False,,,[],,,100142381,,,False,"{'text': 'Đã bán 2', 'value': 2}",,740000,True,"[{'impression_id': 'thanos-JRTOUx8H6OZFE8T0-qdNh6tVG', 'metadata': {'astra_reward': 0, 'category': 27576, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 68559276, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '27576', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'do-boi-mot-manh'}, 'position': 3, 'price': 740000, 'quantity_sold': 2, 'rating': 5, 'request_id': 'JRTOUx8H6OZFE8T0', 'spid': 100142381, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/931/6179/27576,0,16788,"{'amplitude': {'all_time_quantity_sold': 2, 'brand_name': 'OEM', 'category_l1_name': 'Thời trang nữ', 'category_l2_name': 'Trang phục bơi nữ', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '7627969676973', 'number_of_reviews': 1, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 740000, 'primary_category_name': 'Đồ bơi một mảnh', 'product_rating': 5, 'search_rank': 0, 'seller_id': 16788, 'seller_product_id': 100142381, 'seller_product_sku': '4879630360663', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.058, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
3,178539452,5767043080633,"(Bigsize) Váy Bơi Liền Thân Nâng Ngực, Che Bụng Đi Biển",bigsize-vay-boi-lien-than-nang-nguc-che-bung-di-bien-p178539452,bigsize-vay-boi-lien-than-nang-nguc-che-bung-di-bien-p178539452.html?spid=178539532,,,,OEM,,99000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 7, 28/10', 'type': 'delivery_info_badge'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/63/2e/21/56dd49a9605df6dde1c98005a45b5a4c.jpg,280,280,[],False,,False,1833,,,False,False,,,[],,,178539532,,,False,"{'text': 'Đã bán 3', 'value': 3}",,99000,True,"[{'impression_id': 'thanos-JRTOUx8H6OZFE8T0-3LpViOaq', 'metadata': {'astra_reward': 0, 'category': 27576, 'delivery_date': '2023/10/28', 'delivery_info_badge_text': 'Giao thứ 7, 28/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 178539452, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '27576', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'do-boi-mot-manh'}, 'position': 4, 'price': 99000, 'quantity_sold': 3, 'rating': 5, 'request_id': 'JRTOUx8H6OZFE8T0', 'spid': 178539532, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/931/6179/27576,0,276694,"{'amplitude': {'all_time_quantity_sold': 3, 'brand_name': 'OEM', 'category_l1_name': 'Thời trang nữ', 'category_l2_name': 'Trang phục bơi nữ', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '2712229012690', 'number_of_reviews': 1, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 99000, 'primary_category_name': 'Đồ bơi một mảnh', 'product_rating': 5, 'search_rank': 0, 'seller_id': 276694, 'seller_product_id': 178539532, 'seller_product_sku': '5767043080633', 'seller_type': 'NONE', 'standard_delivery_estimate': 4.058, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
4,110265185,2680720688715,Đồ Bơi Nữ Liền Thân Dạng Váy Thời Trang,do-boi-nu-lien-than-dang-vay-thoi-trang-p110265185,do-boi-nu-lien-than-dang-vay-thoi-trang-p110265185.html?spid=110265203,,,,OEM,,180000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều thứ 5, 26/10', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/5c/72/78/306239ab00d73e6157bf59a2b7ed0c7f.jpg,280,280,[],False,,False,1833,,,False,False,,,[],,,110265203,,,False,"{'text': 'Đã bán 3', 'value': 3}",,180000,True,"[{'impression_id': 'thanos-JRTOUx8H6OZFE8T0-S0XkdESy', 'metadata': {'astra_reward': 0, 'category': 27576, 'delivery_date': '2023/10/26', 'delivery_info_badge_text': 'Giao chiều thứ 5, 26/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 110265185, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '27576', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'do-boi-mot-manh'}, 'position': 5, 'price': 180000, 'quantity_sold': 3, 'rating': 0, 'request_id': 'JRTOUx8H6OZFE8T0', 'spid': 110265203, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/931/6179/27576,0,147505,"{'amplitude': {'all_time_quantity_sold': 3, 'brand_name': 'OEM', 'category_l1_name': 'Thời trang nữ', 'category_l2_name': 'Trang phục bơi nữ', 'earliest_delivery_estimate': 1.808, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '4264236165844', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 180000, 'primary_category_name': 'Đồ bơi một mảnh', 'product_rating': 0, 'search_rank': 0, 'seller_id': 147505, 'seller_product_id': 110265203, 'seller_product_sku': '2680720688715', 'seller_type': 'NONE', 'standard_delivery_estimate': 2.017, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
5,248941917,4746413690251,Bikini tay dài hoa lá khoá kéo,bikini-tay-dai-hoa-la-khoa-keo-p248941917,bikini-tay-dai-hoa-la-khoa-keo-p248941917.html?spid=248941939,,,,OEM,,290000,0,[],"[{'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều thứ 5, 26/10', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/6f/89/6f/32a5f4ffded6f5c08484e4bb665da451.jpg,280,280,[],False,,False,1833,,,False,False,,,[],,,248941939,,,False,"{'text': 'Đã bán 2', 'value': 2}",,290000,True,"[{'impression_id': 'thanos-JRTOUx8H6OZFE8T0-qh5xx15f', 'metadata': {'astra_reward': 0, 'category': 27576, 'delivery_date': '2023/10/26', 'delivery_info_badge_text': 'Giao chiều thứ 5, 26/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 248941917, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '27576', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'do-boi-mot-manh'}, 'position': 6, 'price': 290000, 'quantity_sold': 2, 'rating': 0, 'request_id': 'JRTOUx8H6OZFE8T0', 'spid': 248941939, 'tiki_verified': 0}, 'checksum': ''}]",,1,1/2/931/6179/27576,0,191553,"{'amplitude': {'all_time_quantity_sold': 2, 'brand_name': 'OEM', 'category_l1_name': 'Thời trang nữ', 'category_l2_name': 'Trang phục bơi nữ', 'earliest_delivery_estimate': 1.808, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '7697284851210', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 290000, 'primary_category_name': 'Đồ bơi một mảnh', 'product_rating': 0, 'search_rank': 0, 'seller_id': 191553, 'seller_product_id': 248941939, 'seller_product_sku': '4746413690251', 'seller_type': 'NONE', 'standard_delivery_estimate': 2.017, 'tiki_verified': 0, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
6,252801927,5997193622027,"Đồ bơi nữ size lớn, áo tắm big size dáng váy liền thân dấu bụng cho người béo mập, mẫu khoá kéo cộc tay trẻ trung, chất thun bơi lạnh Lycra cao cấp dày đẹp | KT112",do-boi-nu-size-lon-ao-tam-big-size-dang-vay-lien-than-dau-bung-cho-nguoi-beo-map-mau-khoa-keo-coc-tay-tre-trung-chat-thun-boi-lanh-lycra-cao-cap-day-dep-kt112-p252801927,do-boi-nu-size-lon-ao-tam-big-size-dang-vay-lien-than-dau-bung-cho-nguoi-beo-map-mau-khoa-keo-coc-tay-tre-trung-chat-thun-boi-lanh-lycra-cao-cap-day-dep-kt112-p252801927.html?spid=252801929,,,,OEM,,460000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",0,0,5.0,1,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/52/c0/a4/9580e537706864f62cd3e554eb10ed91.png,280,280,[],False,,False,1833,,,False,False,,,[],,,252801929,,,False,"{'text': 'Đã bán 5', 'value': 5}",,460000,True,"[{'impression_id': 'thanos-JRTOUx8H6OZFE8T0-TBhBlfp2', 'metadata': {'astra_reward': 0, 'category': 27576, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 252801927, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '27576', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'do-boi-mot-manh'}, 'position': 7, 'price': 460000, 'quantity_sold': 5, 'rating': 5, 'request_id': 'JRTOUx8H6OZFE8T0', 'spid': 252801929, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/931/6179/27576,0,63850,"{'amplitude': {'all_time_quantity_sold': 5, 'brand_name': 'OEM', 'category_l1_name': 'Thời trang nữ', 'category_l2_name': 'Trang phục bơi nữ', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '3999882630203', 'number_of_reviews': 1, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 460000, 'primary_category_name': 'Đồ bơi một mảnh', 'product_rating': 5, 'search_rank': 0, 'seller_id': 63850, 'seller_product_id': 252801929, 'seller_product_sku': '5997193622027', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.058, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
7,84077317,1805449280925,"Đồ bơi áo tắm cho người trung tuổi, dáng váy quần sooc đùi dài, tôn dáng tránh lộ bụng, bikini trung niên cho mẹ cho bà size lớn | KT007",do-boi-ao-tam-cho-nguoi-trung-tuoi-dang-vay-quan-sooc-dui-dai-ton-dang-tranh-lo-bung-bikini-trung-nien-cho-me-cho-ba-size-lon-kt007-p84077317,do-boi-ao-tam-cho-nguoi-trung-tuoi-dang-vay-quan-sooc-dui-dai-ton-dang-tranh-lo-bung-bikini-trung-nien-cho-me-cho-ba-size-lon-kt007-p84077317.html?spid=84077321,,,,OEM,,350000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Giao thứ 6, 27/10', 'type': 'delivery_info_badge'}]",0,0,4.7,6,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/fd/e1/db/9c62bccf20a5f1e3c1df6dd6f5630565.jpg,280,280,[],False,,False,1833,,,False,False,,,[],,,84077321,,,False,"{'text': 'Đã bán 23', 'value': 23}",,350000,True,"[{'impression_id': 'thanos-JRTOUx8H6OZFE8T0-RJVZlwqC', 'metadata': {'astra_reward': 0, 'category': 27576, 'delivery_date': '2023/10/27', 'delivery_info_badge_text': 'Giao thứ 6, 27/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 84077317, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '27576', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'do-boi-mot-manh'}, 'position': 8, 'price': 350000, 'quantity_sold': 23, 'rating': 4.7, 'request_id': 'JRTOUx8H6OZFE8T0', 'spid': 84077321, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/931/6179/27576,0,63850,"{'amplitude': {'all_time_quantity_sold': 23, 'brand_name': 'OEM', 'category_l1_name': 'Thời trang nữ', 'category_l2_name': 'Trang phục bơi nữ', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '6613228216288', 'number_of_reviews': 6, 'order_route': 'hn_hcm', 'partner_rewards_amount': 0, 'price': 350000, 'primary_category_name': 'Đồ bơi một mảnh', 'product_rating': 4.7, 'search_rank': 0, 'seller_id': 63850, 'seller_product_id': 84077321, 'seller_product_sku': '1805449280925', 'seller_type': 'NONE', 'standard_delivery_estimate': 3.058, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
8,235879676,6357455423217,Đồ bơi Nữ BIKINI PASSPORT kiểu Một mảnh tay ngắn kín đáo có khoá - màu Đen - BS1001_BL,do-boi-nu-bikini-passport-kieu-mot-manh-tay-ngan-kin-dao-co-khoa-mau-den-bs1001_bl-p235879676,do-boi-nu-bikini-passport-kieu-mot-manh-tay-ngan-kin-dao-co-khoa-mau-den-bs1001_bl-p235879676.html?spid=235879687,,,,Bikini Passport CLOTHES X BIKINI,,245000,0,[],"[{'code': 'option_color', 'placement': 'under_rating', 'text': 'Nhiều màu', 'type': 'under_rating_text'}, {'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều thứ 5, 26/10', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/67/d8/f0/a40cb1772a2d1bba893b3f7060ae2786.jpg,280,280,[],False,,False,1833,,,False,False,,,[],,,235879687,,,False,"{'text': 'Đã bán 1', 'value': 1}",,245000,True,"[{'impression_id': 'thanos-JRTOUx8H6OZFE8T0-ZXNikc66', 'metadata': {'astra_reward': 0, 'category': 27576, 'delivery_date': '2023/10/26', 'delivery_info_badge_text': 'Giao chiều thứ 5, 26/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 235879676, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '27576', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'do-boi-mot-manh'}, 'position': 9, 'price': 245000, 'quantity_sold': 1, 'rating': 0, 'request_id': 'JRTOUx8H6OZFE8T0', 'spid': 235879687, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/931/6179/27576,0,3981,"{'amplitude': {'all_time_quantity_sold': 1, 'brand_name': 'Bikini Passport CLOTHES X BIKINI', 'category_l1_name': 'Thời trang nữ', 'category_l2_name': 'Trang phục bơi nữ', 'earliest_delivery_estimate': 1.808, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '8839664577700', 'number_of_reviews': 0, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 245000, 'primary_category_name': 'Đồ bơi một mảnh', 'product_rating': 0, 'search_rank': 0, 'seller_id': 3981, 'seller_product_id': 235879687, 'seller_product_sku': '6357455423217', 'seller_type': 'NONE', 'standard_delivery_estimate': 2.017, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
9,203464812,9309693311571,Đồ bơi Nữ   kiểu Một mảnh váy tay ngắn- màu Xanh navy - BS298_NV,do-boi-nu-kieu-mot-manh-vay-tay-ngan-mau-xanh-navy-bs298_nv-p203464812,do-boi-nu-kieu-mot-manh-vay-tay-ngan-mau-xanh-navy-bs298_nv-p203464812.html?spid=203464816,,,,Bikini Passport CLOTHES X BIKINI,,317000,0,[],"[{'code': 'delivery_info_badge', 'icon': 'https://salt.tikicdn.com/cache/w96/ts/tka/26/a2/90/0663718b1c04d15a46bf0f23874a7e01.png', 'icon_height': 16, 'icon_width': 32, 'placement': 'delivery_info', 'text': 'Giao chiều thứ 5, 26/10', 'type': 'delivery_info_badge'}]",0,0,5.0,2,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/72/bc/9d/a8d09d42963bafe120e84cb032a0fd6e.jpg,280,280,[],False,,False,1833,,,False,False,,,[],,,203464816,,,False,"{'text': 'Đã bán 6', 'value': 6}",,317000,True,"[{'impression_id': 'thanos-JRTOUx8H6OZFE8T0-2SzeWbuq', 'metadata': {'astra_reward': 0, 'category': 27576, 'delivery_date': '2023/10/26', 'delivery_info_badge_text': 'Giao chiều thứ 5, 26/10', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 203464812, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '27576', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'do-boi-mot-manh'}, 'position': 10, 'price': 317000, 'quantity_sold': 6, 'rating': 5, 'request_id': 'JRTOUx8H6OZFE8T0', 'spid': 203464816, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/931/6179/27576,0,3981,"{'amplitude': {'all_time_quantity_sold': 6, 'brand_name': 'Bikini Passport CLOTHES X BIKINI', 'category_l1_name': 'Thời trang nữ', 'category_l2_name': 'Trang phục bơi nữ', 'earliest_delivery_estimate': 1.808, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '2470918932890', 'number_of_reviews': 2, 'order_route': 'same_province', 'partner_rewards_amount': 0, 'price': 317000, 'primary_category_name': 'Đồ bơi một mảnh', 'product_rating': 5, 'search_rank': 0, 'seller_id': 3981, 'seller_product_id': 203464816, 'seller_product_sku': '9309693311571', 'seller_type': 'NONE', 'standard_delivery_estimate': 2.017, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
