,id,sku,name,url_key,url_path,type,author_name,book_cover,brand_name,short_description,price,list_price,badges,badges_new,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,thumbnail_width,thumbnail_height,freegift_items,has_ebook,inventory_status,is_visible,productset_id,productset_group_name,seller,is_flower,is_gift_card,inventory,url_attendant_input_form,option_color,stock_item,salable_type,seller_product_id,installment_info,url_review,bundle_deal,quantity_sold,tiki_live,original_price,shippable,impression_info,advertisement,availability,primary_category_path,product_reco_score,seller_id,visible_impression_info
0,202763559,7554909564438,Lấy Cao Răng (Cạo vôi răng) Và Đánh Bóng Công Nghệ Siêu Âm Mới - Nha khoa BeDental (5 chi nhánh),lay-cao-rang-cao-voi-rang-va-danh-bong-cong-nghe-sieu-am-moi-nha-khoa-bedental-3-chi-nhanh-p202763559,lay-cao-rang-cao-voi-rang-va-danh-bong-cong-nghe-sieu-am-moi-nha-khoa-bedental-3-chi-nhanh-p202763559.html?spid=202763560,,,,,,99000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Thanh toán qua thẻ & ví', 'type': 'delivery_info_badge'}]",0,0,4.7,13,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/d0/f9/4c/fcd65ed93f9bbedc005747ade53a173e.jpeg,280,280,[],False,,False,647,,,False,False,,,[],,,202763560,,,False,"{'text': 'Đã bán 69', 'value': 69}",,99000,True,"[{'impression_id': 'thanos-61WgpelgXN5wlIoX-aO2ujNBh', 'metadata': {'astra_reward': 0, 'category': 13368, 'delivery_info_badge_text': 'Thanh toán qua thẻ & ví', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 202763559, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '13368', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nha-khoa'}, 'position': 1, 'price': 99000, 'quantity_sold': 69, 'rating': 4.7, 'request_id': '61WgpelgXN5wlIoX', 'spid': 202763560, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/11312/11326/13368,0,214542,"{'amplitude': {'all_time_quantity_sold': 69, 'category_l1_name': 'Voucher - Dịch vụ', 'category_l2_name': 'Nha khoa - Sức khỏe', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '3540239221928', 'number_of_reviews': 13, 'partner_rewards_amount': 0, 'price': 99000, 'primary_category_name': 'Nha khoa', 'product_rating': 4.7, 'search_rank': 0, 'seller_id': 214542, 'seller_product_id': 202763560, 'seller_product_sku': '7554909564438', 'seller_type': 'NONE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
1,209175203,7242426209211,Voucher Hàn răng/Trám răng - Nha khoa BeDental,voucher-han-rang-tram-rang-nha-khoa-bedental-p209175203,voucher-han-rang-tram-rang-nha-khoa-bedental-p209175203.html?spid=209175205,,,,,,289000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Thanh toán qua thẻ & ví', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/e6/bc/d3/93d6b0755d7e1e5a7b461344f14adf7c.jpg,280,280,[],False,,False,647,,,False,False,,,[],,,209175205,,,False,"{'text': 'Đã bán 4', 'value': 4}",,289000,True,"[{'impression_id': 'thanos-61WgpelgXN5wlIoX-24gxDHej', 'metadata': {'astra_reward': 0, 'category': 13368, 'delivery_info_badge_text': 'Thanh toán qua thẻ & ví', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 209175203, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '13368', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nha-khoa'}, 'position': 2, 'price': 289000, 'quantity_sold': 4, 'rating': 0, 'request_id': '61WgpelgXN5wlIoX', 'spid': 209175205, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/11312/11326/13368,0,214542,"{'amplitude': {'all_time_quantity_sold': 4, 'category_l1_name': 'Voucher - Dịch vụ', 'category_l2_name': 'Nha khoa - Sức khỏe', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '9086291452533', 'number_of_reviews': 0, 'partner_rewards_amount': 0, 'price': 289000, 'primary_category_name': 'Nha khoa', 'product_rating': 0, 'search_rank': 0, 'seller_id': 214542, 'seller_product_id': 209175205, 'seller_product_sku': '7242426209211', 'seller_type': 'NONE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
2,7358283,7627992014094,Răng sứ Titan tại Hệ thống nha khoa Hợp Nhất,rang-su-titan-tai-he-thong-nha-khoa-hop-nhat-p7358283,rang-su-titan-tai-he-thong-nha-khoa-hop-nhat-p7358283.html?spid=7358285,,,,,,600000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Thanh toán qua thẻ & ví', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/27/ef/96/46272660027194e7a3d0ef5a9ee2ef8e.jpg,280,280,[],False,,False,647,,,False,False,,,[],,,7358285,,,False,"{'text': 'Đã bán 17', 'value': 17}",,600000,True,"[{'impression_id': 'thanos-61WgpelgXN5wlIoX-lT4wRkHR', 'metadata': {'astra_reward': 0, 'category': 13368, 'delivery_info_badge_text': 'Thanh toán qua thẻ & ví', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 7358283, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '13368', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nha-khoa'}, 'position': 3, 'price': 600000, 'quantity_sold': 17, 'rating': 0, 'request_id': '61WgpelgXN5wlIoX', 'spid': 7358285, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/11312/11326/13368,0,13373,"{'amplitude': {'all_time_quantity_sold': 17, 'category_l1_name': 'Voucher - Dịch vụ', 'category_l2_name': 'Nha khoa - Sức khỏe', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '8172800154022', 'number_of_reviews': 0, 'partner_rewards_amount': 0, 'price': 600000, 'primary_category_name': 'Nha khoa', 'product_rating': 0, 'search_rank': 0, 'seller_id': 13373, 'seller_product_id': 7358285, 'seller_product_sku': '7627992014094', 'seller_type': 'NONE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
3,36462494,5312587580765,Lấy Cao Răng Và Đánh Bóng Công Nghệ Siêu Âm Mới - Nha khoa Gia Hân,lay-cao-rang-va-danh-bong-cong-nghe-sieu-am-moi-nha-khoa-gia-han-p36462494,lay-cao-rang-va-danh-bong-cong-nghe-sieu-am-moi-nha-khoa-gia-han-p36462494.html?spid=36462495,,,,,,99000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Thanh toán qua thẻ & ví', 'type': 'delivery_info_badge'}]",0,0,4.5,52,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ba/70/72/5b76a121044624c6cddaae5906334289.jpg,280,280,[],False,,False,647,,,False,False,,,[],,,36462495,,,False,"{'text': 'Đã bán 541', 'value': 541}",,99000,True,"[{'impression_id': 'thanos-61WgpelgXN5wlIoX-CkHMuEbQ', 'metadata': {'astra_reward': 0, 'category': 13368, 'delivery_info_badge_text': 'Thanh toán qua thẻ & ví', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 36462494, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '13368', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nha-khoa'}, 'position': 4, 'price': 99000, 'quantity_sold': 541, 'rating': 4.5, 'request_id': '61WgpelgXN5wlIoX', 'spid': 36462495, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/11312/11326/13368,0,79622,"{'amplitude': {'all_time_quantity_sold': 541, 'category_l1_name': 'Voucher - Dịch vụ', 'category_l2_name': 'Nha khoa - Sức khỏe', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '2067017816961', 'number_of_reviews': 52, 'partner_rewards_amount': 0, 'price': 99000, 'primary_category_name': 'Nha khoa', 'product_rating': 4.5, 'search_rank': 0, 'seller_id': 79622, 'seller_product_id': 36462495, 'seller_product_sku': '5312587580765', 'seller_type': 'NONE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
4,36462498,1520756570767,Gói Trám Răng Bằng Composite Và Lấy Cao Răng – Nha Khoa Gia Hân,goi-tram-rang-bang-composite-va-lay-cao-rang-nha-khoa-gia-han-p36462498,goi-tram-rang-bang-composite-va-lay-cao-rang-nha-khoa-gia-han-p36462498.html?spid=36462499,,,,,,300000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Thanh toán qua thẻ & ví', 'type': 'delivery_info_badge'}]",0,0,4.6,21,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/3a/a5/63/70e9c25413413b33f234b1964e5b901f.jpg,280,280,[],False,,False,647,,,False,False,,,[],,,36462499,,,False,"{'text': 'Đã bán 207', 'value': 207}",,300000,True,"[{'impression_id': 'thanos-61WgpelgXN5wlIoX-0SaJXkGL', 'metadata': {'astra_reward': 0, 'category': 13368, 'delivery_info_badge_text': 'Thanh toán qua thẻ & ví', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 36462498, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '13368', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nha-khoa'}, 'position': 5, 'price': 300000, 'quantity_sold': 207, 'rating': 4.6, 'request_id': '61WgpelgXN5wlIoX', 'spid': 36462499, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/11312/11326/13368,0,79622,"{'amplitude': {'all_time_quantity_sold': 207, 'category_l1_name': 'Voucher - Dịch vụ', 'category_l2_name': 'Nha khoa - Sức khỏe', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '9033318393060', 'number_of_reviews': 21, 'partner_rewards_amount': 0, 'price': 300000, 'primary_category_name': 'Nha khoa', 'product_rating': 4.6, 'search_rank': 0, 'seller_id': 79622, 'seller_product_id': 36462499, 'seller_product_sku': '1520756570767', 'seller_type': 'NONE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
5,208904575,9368009695874,Voucher Máng ngậm tẩy trắng răng tại nhà - Nha khoa BeDental,voucher-mang-ngam-tay-trang-rang-tai-nha-nha-khoa-bedental-p208904575,voucher-mang-ngam-tay-trang-rang-tai-nha-nha-khoa-bedental-p208904575.html?spid=208904576,,,,,,2000000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Thanh toán qua thẻ & ví', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/b5/3e/b4/b19b2deb22e79d0bd25b7edcd76db97a.jpg,280,280,[],False,,False,647,,,False,False,,,[],,,208904576,,,False,,,2000000,True,"[{'impression_id': 'thanos-61WgpelgXN5wlIoX-3whWoIGd', 'metadata': {'astra_reward': 0, 'category': 13368, 'delivery_info_badge_text': 'Thanh toán qua thẻ & ví', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 208904575, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '13368', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nha-khoa'}, 'position': 6, 'price': 2000000, 'quantity_sold': 0, 'rating': 0, 'request_id': '61WgpelgXN5wlIoX', 'spid': 208904576, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/11312/11326/13368,0,214542,"{'amplitude': {'all_time_quantity_sold': 0, 'category_l1_name': 'Voucher - Dịch vụ', 'category_l2_name': 'Nha khoa - Sức khỏe', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '8722445298926', 'number_of_reviews': 0, 'partner_rewards_amount': 0, 'price': 2000000, 'primary_category_name': 'Nha khoa', 'product_rating': 0, 'search_rank': 0, 'seller_id': 214542, 'seller_product_id': 208904576, 'seller_product_sku': '9368009695874', 'seller_type': 'NONE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
6,2211331,4865447491943,Gói Dịch Vụ 1 Lần Cạo Vôi Răng Và Đánh Bóng Tại Nha Khoa Thẩm Mỹ Hồng Ân,goi-dich-vu-1-lan-cao-voi-rang-va-danh-bong-tai-nha-khoa-tham-my-spa-hong-an-p2211331,goi-dich-vu-1-lan-cao-voi-rang-va-danh-bong-tai-nha-khoa-tham-my-spa-hong-an-p2211331.html?spid=2211333,,,,,,88000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Thanh toán qua thẻ & ví', 'type': 'delivery_info_badge'}]",0,0,4.1,8,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/00/89/c3/50a92ec48fdea7a2299fefb57a51c45d.jpg,280,280,[],False,,False,647,,,False,False,,,[],,,2211333,,,False,"{'text': 'Đã bán 73', 'value': 73}",,88000,True,"[{'impression_id': 'thanos-61WgpelgXN5wlIoX-Dg5WTykt', 'metadata': {'astra_reward': 0, 'category': 13368, 'delivery_info_badge_text': 'Thanh toán qua thẻ & ví', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 2211331, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '13368', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nha-khoa'}, 'position': 7, 'price': 88000, 'quantity_sold': 73, 'rating': 4.1, 'request_id': '61WgpelgXN5wlIoX', 'spid': 2211333, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/11312/11326/13368,0,2453,"{'amplitude': {'all_time_quantity_sold': 73, 'category_l1_name': 'Voucher - Dịch vụ', 'category_l2_name': 'Nha khoa - Sức khỏe', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '9530630211473', 'number_of_reviews': 8, 'partner_rewards_amount': 0, 'price': 88000, 'primary_category_name': 'Nha khoa', 'product_rating': 4.1, 'search_rank': 0, 'seller_id': 2453, 'seller_product_id': 2211333, 'seller_product_sku': '4865447491943', 'seller_type': 'NONE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
7,19757066,6498941317686,Niềng Răng Siêu Tốc Trong 6 Tháng tại Navii Dental Care,nieng-rang-sieu-toc-trong-6-thang-tai-navii-dental-care-p19757066,nieng-rang-sieu-toc-trong-6-thang-tai-navii-dental-care-p19757066.html?spid=19757067,,,,,,80000000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Thanh toán qua thẻ & ví', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/76/3c/3c/a0e37b750e93e7743cd4095d30245a33.jpg,280,280,[],False,,False,647,,,False,False,,,[],,,19757067,,,False,,,80000000,True,"[{'impression_id': 'thanos-61WgpelgXN5wlIoX-5lPMCBxr', 'metadata': {'astra_reward': 0, 'category': 13368, 'delivery_info_badge_text': 'Thanh toán qua thẻ & ví', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 19757066, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '13368', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nha-khoa'}, 'position': 8, 'price': 80000000, 'quantity_sold': 0, 'rating': 0, 'request_id': '61WgpelgXN5wlIoX', 'spid': 19757067, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/11312/11326/13368,0,50759,"{'amplitude': {'all_time_quantity_sold': 0, 'category_l1_name': 'Voucher - Dịch vụ', 'category_l2_name': 'Nha khoa - Sức khỏe', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '9971439694089', 'number_of_reviews': 0, 'partner_rewards_amount': 0, 'price': 80000000, 'primary_category_name': 'Nha khoa', 'product_rating': 0, 'search_rank': 0, 'seller_id': 50759, 'seller_product_id': 19757067, 'seller_product_sku': '6498941317686', 'seller_type': 'NONE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
8,209273129,1605567544873,E-voucher Bộ máng duy trì sau chỉnh nha - Nha khoa BeDental - 5 cơ sở,voucher-mang-duy-tri-sau-chinh-nha-nha-khoa-bedental-p209273129,voucher-mang-duy-tri-sau-chinh-nha-nha-khoa-bedental-p209273129.html?spid=209273130,,,,,,1100000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Thanh toán qua thẻ & ví', 'type': 'delivery_info_badge'}]",0,0,0.0,0,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/8d/af/b1/5acc8ee8131ff3470678ffd5c3591b78.jpg,280,280,[],False,,False,647,,,False,False,,,[],,,209273130,,,False,,,1100000,True,"[{'impression_id': 'thanos-61WgpelgXN5wlIoX-9zqpglVa', 'metadata': {'astra_reward': 0, 'category': 13368, 'delivery_info_badge_text': 'Thanh toán qua thẻ & ví', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 209273129, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '13368', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nha-khoa'}, 'position': 9, 'price': 1100000, 'quantity_sold': 0, 'rating': 0, 'request_id': '61WgpelgXN5wlIoX', 'spid': 209273130, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/11312/11326/13368,0,214542,"{'amplitude': {'all_time_quantity_sold': 0, 'category_l1_name': 'Voucher - Dịch vụ', 'category_l2_name': 'Nha khoa - Sức khỏe', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '2786889040053', 'number_of_reviews': 0, 'partner_rewards_amount': 0, 'price': 1100000, 'primary_category_name': 'Nha khoa', 'product_rating': 0, 'search_rank': 0, 'seller_id': 214542, 'seller_product_id': 209273130, 'seller_product_sku': '1605567544873', 'seller_type': 'NONE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
9,9817034,2337728892555,"Voucher Dịch Vụ Cạo Vôi, Đánh Bóng Răng - Nha Khoa Hạnh Nguyên",voucher-dich-vu-cao-voi-danh-bong-rang-nha-khoa-hanh-nguyen-p9817034,voucher-dich-vu-cao-voi-danh-bong-rang-nha-khoa-hanh-nguyen-p9817034.html?spid=9817035,,,,,,100000,0,[],"[{'code': 'delivery_info_badge', 'placement': 'delivery_info', 'text': 'Thanh toán qua thẻ & ví', 'type': 'delivery_info_badge'}]",0,0,4.8,30,0,0,https://salt.tikicdn.com/cache/280x280/ts/product/ff/1e/f2/c696954d9a1070b41a1d9b67e9a01041.jpg,280,280,[],False,,False,647,,,False,False,,,[],,,9817035,,,False,"{'text': 'Đã bán 271', 'value': 271}",,100000,True,"[{'impression_id': 'thanos-61WgpelgXN5wlIoX-S38gksry', 'metadata': {'astra_reward': 0, 'category': 13368, 'delivery_info_badge_text': 'Thanh toán qua thẻ & ví', 'delivery_zone': 'VN039006001', 'discount_rate': 0, 'flags': {'_v': 'filter_revamp'}, 'is_ad': 0, 'is_astra_plus': 0, 'is_official_store': 0, 'is_tikinow': 0, 'is_tikipro': 0, 'is_trusted_store': 0, 'mpid': 9817034, 'params': {'_v': 'filter_revamp', 'aggregations': '2', 'category': '13368', 'include': 'advertisement', 'limit': '40', 'page': '1', 'trackity_id': 'c5464b70-2f56-0421-5dcc-93cc46c3dd2f', 'urlKey': 'nha-khoa'}, 'position': 10, 'price': 100000, 'quantity_sold': 271, 'rating': 4.8, 'request_id': '61WgpelgXN5wlIoX', 'spid': 9817035, 'tiki_verified': 1}, 'checksum': ''}]",,1,1/2/11312/11326/13368,0,15852,"{'amplitude': {'all_time_quantity_sold': 271, 'category_l1_name': 'Voucher - Dịch vụ', 'category_l2_name': 'Nha khoa - Sức khỏe', 'earliest_delivery_estimate': 0, 'is_authentic': 0, 'is_best_offer_available': False, 'is_flash_deal': False, 'is_gift_available': False, 'master_product_sku': '9834838324042', 'number_of_reviews': 30, 'partner_rewards_amount': 0, 'price': 100000, 'primary_category_name': 'Nha khoa', 'product_rating': 4.8, 'search_rank': 0, 'seller_id': 15852, 'seller_product_id': 9817035, 'seller_product_sku': '2337728892555', 'seller_type': 'NONE', 'standard_delivery_estimate': 0, 'tiki_verified': 1, 'tikinow_delivery_estimate': 0, 'tikipro_delivery_estimate': 0}}"
